frame_idx,track_id,x1,y1,x2,y2
0,1,1471.5,328.9,1687.5,950.0
0,2,1232.6,315.4,1418.6,833.4
0,3,638.6,319.8,701.4,483.1
0,4,500.4,254.1,581.5,686.9
0,5,499.3,254.2,581.7,686.8
1,1,1468.3,327.3,1684.5,949.4
1,2,1234.7,314.7,1420.8,832.9
1,3,638.3,318.3,701.3,482.5
1,4,501.2,253.7,582.1,685.6
2,1,1466.5,325.7,1682.7,949.1
2,2,1236.4,313.7,1422.8,832.5
2,3,637.9,316.8,701.3,482.0
2,4,501.5,253.4,583.4,690.5
2,6,576.2,377.0,622.3,436.9
3,1,1466.0,323.8,1681.7,947.6
3,2,1238.3,312.4,1425.3,831.9
3,3,636.9,315.0,701.1,481.7
3,4,504.2,252.5,586.4,692.5
3,6,576.8,376.4,623.0,436.3
4,1,1465.6,322.0,1680.4,946.1
4,2,1241.1,311.9,1428.4,830.9
4,3,636.4,313.5,701.0,480.9
4,4,507.4,254.0,588.6,689.5
4,6,578.3,375.9,624.8,436.2
5,1,1467.2,319.8,1680.3,942.6
5,2,1245.0,310.6,1432.9,829.4
5,3,638.8,312.8,703.0,479.0
5,4,513.5,257.8,594.1,691.9
6,1,1470.4,316.6,1681.9,939.2
6,2,1251.0,308.1,1440.1,827.5
6,3,641.7,309.5,706.8,477.2
6,4,500.5,239.4,599.6,772.5
6,6,585.7,372.8,631.9,432.7
7,1,1472.6,314.0,1682.5,937.2
7,2,1255.3,305.5,1445.9,825.9
7,3,641.0,307.2,706.8,475.3
7,4,501.8,229.7,608.1,796.9
7,6,588.1,371.2,633.8,430.5
8,1,1473.8,311.3,1681.9,935.4
8,2,1258.5,302.8,1450.7,823.8
8,3,640.6,304.5,707.6,472.9
8,4,504.9,225.7,615.8,806.5
9,1,1474.1,309.0,1679.7,933.1
9,2,1260.6,300.0,1454.6,821.3
9,3,640.5,302.4,708.5,470.5
9,4,512.8,223.4,628.8,809.4
10,1,1471.6,307.6,1674.7,930.6
10,2,1262.4,297.9,1458.0,819.0
10,3,640.4,300.5,709.4,468.9
10,4,526.7,224.3,649.4,809.0
11,1,1463.1,306.1,1665.1,927.9
11,2,1263.7,296.0,1461.2,817.1
11,3,640.1,298.7,710.1,467.3
11,4,539.5,225.3,670.8,808.1
12,1,1452.5,304.4,1654.3,924.8
12,2,1264.3,293.5,1463.8,815.1
12,3,641.4,296.0,711.8,464.5
12,4,546.5,225.1,687.7,806.7
13,1,1441.6,301.5,1644.1,921.0
13,2,1265.3,290.2,1466.8,811.6
13,3,644.0,293.2,714.2,461.8
13,4,548.4,224.1,699.5,804.3
14,1,1430.0,297.7,1633.9,917.0
14,2,1266.8,287.6,1469.8,807.9
14,3,646.8,291.0,716.4,459.6
14,4,547.5,224.7,707.4,801.7
15,1,1419.5,294.5,1624.8,913.3
15,2,1268.0,285.4,1472.4,805.0
15,4,544.2,225.5,712.7,799.7
16,1,1411.1,291.1,1617.9,910.8
16,2,1269.6,282.5,1475.5,802.1
16,4,539.9,223.3,717.1,798.2
17,1,1404.6,288.4,1612.1,907.6
17,2,1271.8,280.4,1478.9,800.0
17,4,535.8,221.4,720.5,795.8
18,1,1399.3,285.9,1606.7,904.2
18,2,1275.1,278.3,1483.2,798.2
18,4,536.2,220.1,726.5,793.3
18,7,514.4,302.5,586.2,654.8
19,1,1394.9,284.1,1601.2,900.0
19,2,1280.5,275.9,1488.6,795.6
19,4,539.7,219.2,734.2,791.7
19,7,515.1,302.3,586.8,653.8
20,1,1391.7,280.7,1596.7,894.5
20,2,1287.5,274.1,1494.8,793.0
20,4,549.7,217.8,746.4,788.8
20,7,514.2,295.6,587.2,652.1
20,8,536.3,220.1,589.9,365.8
21,1,1389.5,278.2,1592.5,888.6
21,2,1293.6,271.8,1499.5,790.8
21,4,567.3,213.8,766.6,786.7
21,7,512.2,284.9,587.5,650.6
21,8,536.5,218.6,588.4,359.7
22,1,1388.2,275.4,1589.7,884.6
22,2,1299.3,270.6,1502.4,788.8
22,4,586.7,210.6,787.6,784.2
22,7,509.6,275.5,588.8,658.2
22,8,537.3,216.6,587.1,351.7
23,1,1386.5,272.1,1585.9,879.7
23,2,1306.2,269.2,1506.6,789.7
23,4,608.9,208.5,810.5,782.1
23,7,504.1,233.2,593.5,666.2
23,8,538.3,215.2,585.3,342.1
23,10,589.2,339.8,628.4,397.7
24,1,1382.7,269.2,1579.1,874.5
24,2,1308.5,267.8,1505.4,791.1
24,4,627.8,207.5,830.8,781.8
24,7,501.2,216.2,595.6,674.9
24,8,538.4,213.1,583.7,334.6
24,10,589.0,338.9,627.8,396.2
24,3,629.4,270.5,698.6,438.8
25,1,1377.6,266.5,1571.2,870.2
25,2,1308.3,266.4,1501.9,793.3
25,4,639.3,207.2,845.7,785.4
25,7,499.5,209.4,596.4,682.0
25,8,537.8,211.5,581.5,327.3
25,10,587.3,337.0,626.3,394.7
25,3,629.5,268.7,699.8,437.8
26,1,1370.0,263.8,1560.5,861.6
26,2,1307.7,265.4,1497.2,793.6
26,4,648.5,207.5,858.6,789.3
26,7,499.5,205.8,597.7,689.0
26,8,536.9,210.1,579.9,323.1
26,10,585.8,335.6,624.9,393.6
26,3,628.2,266.8,698.9,437.0
27,1,1360.9,261.0,1548.8,850.9
27,2,1311.7,271.4,1492.0,782.4
27,4,656.3,207.7,870.3,792.4
27,7,499.2,202.7,598.1,695.7
27,10,585.4,334.4,624.2,392.3
27,3,627.9,264.6,699.3,436.1
28,1,1353.0,258.8,1538.5,840.8
28,2,1315.7,303.4,1480.6,776.6
28,4,663.9,207.3,881.7,794.1
28,7,499.4,201.3,597.9,699.2
28,10,584.7,332.9,623.4,390.7
28,3,627.2,262.9,699.1,435.2
29,1,1340.8,257.3,1528.2,841.9
29,4,670.5,207.1,891.3,794.1
29,7,499.6,201.1,597.1,700.5
29,10,584.6,331.7,622.8,388.8
29,3,626.2,261.2,698.6,434.3
30,1,1332.7,256.9,1521.0,841.5
30,4,674.6,207.2,898.4,793.7
30,7,499.7,202.9,596.4,702.1
30,10,583.7,330.3,621.5,387.4
30,3,624.9,259.5,697.8,433.2
31,1,1319.5,257.6,1509.7,840.2
31,4,676.8,208.1,904.2,795.1
31,7,500.2,201.6,596.8,703.3
31,10,583.8,328.9,621.0,386.1
31,3,623.2,258.2,696.3,432.1
32,1,1301.5,256.3,1496.3,838.8
32,4,678.0,207.9,909.1,797.3
32,7,500.2,199.8,597.8,709.4
32,3,620.8,257.7,694.2,431.0
32,12,1372.8,257.5,1523.9,520.7
33,1,1290.7,254.7,1494.1,837.5
33,4,680.1,207.0,914.0,797.7
33,7,501.4,197.9,599.8,711.3
33,3,618.8,256.9,692.7,429.5
34,1,1268.1,253.6,1476.4,835.6
34,4,683.4,205.2,918.5,796.4
34,7,502.1,195.5,601.4,711.2
34,3,617.5,256.0,691.6,427.8
34,2,1292.7,255.8,1501.9,823.3
35,1,1253.4,254.2,1465.8,833.6
35,4,689.8,203.1,923.9,794.6
35,7,503.0,192.1,603.7,710.6
35,3,616.2,255.5,690.1,425.6
35,2,1304.3,253.1,1519.2,822.5
36,1,1241.9,254.7,1457.7,833.0
36,4,699.5,201.2,931.2,794.4
36,7,503.9,189.3,606.2,709.3
36,3,614.0,254.1,688.5,424.2
36,2,1329.1,249.2,1539.0,804.5
37,1,1234.2,254.7,1452.2,831.7
37,4,712.2,199.8,938.9,792.6
37,7,504.8,188.2,608.9,708.6
37,3,612.0,252.0,687.5,423.1
37,2,1347.7,246.1,1553.7,796.6
38,1,1226.8,254.3,1445.9,828.9
38,4,728.8,197.4,949.6,790.8
38,7,506.0,185.7,612.5,708.0
38,3,610.9,250.5,686.9,421.8
38,2,1342.9,244.1,1550.8,793.9
39,1,1221.2,254.6,1440.4,824.6
39,4,749.8,194.6,964.7,789.1
39,7,505.3,183.9,614.7,707.5
39,3,609.7,247.8,686.6,420.1
39,2,1363.6,242.4,1567.4,791.4
40,1,1218.3,253.5,1436.4,817.4
40,4,768.0,192.5,976.8,786.4
40,7,503.1,182.2,615.7,705.9
40,3,608.1,245.2,685.9,418.5
